PLAYER_ID,HEIGHT,WEIGHT,POSITION
78095,79,185,Forward
1064,82,250,Forward-Center
2,76,205,Guard
78097,77,175,Guard
192,80,229,Forward
1109,78,180,Forward
203118,80,237,Forward
78100,81,215,Forward
78102,79,188,Forward
78103,80,210,Forward
907,80,200,Guard-Forward
78105,78,210,Forward
78106,81,198,Forward
78107,75,190,Guard
200757,79,220,Forward
938,83,253,Center
78109,75,196,Forward
1627782,77,230,Guard-Forward
78110,84,210,Forward
78111,76,195,Forward
78112,70,165,Guard
78113,74,180,Guard
78114,74,190,Guard
200754,83,230,Center
78115,74,179,Guard
202338,82,278,Forward-Center
201196,75,190,Guard
78116,77,185,Guard
1629012,74,190,Guard
78117,73,180,Guard
78118,71,180,Guard
1593,83,245,Center
78120,75,185,Guard
78121,79,220,Forward
1629013,77,188,Guard
1539,72,169,Guard
78123,71,170,Guard
78124,74,175,Guard
78125,83,235,Center
78126,73,175,Guard
201594,81,245,Forward
1117,83,235,Center
78128,80,200,Forward
216,78,200,Guard
1745,83,255,Center
78130,74,194,Forward
78131,74,165,Forward
78132,79,210,Forward
78133,80,240,Forward
78135,78,215,Forward
78136,74,170,Guard
78653,73,200,Guard
2321,82,230,Forward
78138,78,200,Forward
78139,79,210,Forward
78140,74,200,Forward
78141,74,190,Guard
78142,74,170,Guard
78143,81,235,Forward
202697,77,215,Guard
203144,78,187,Guard
1627783,81,230,Forward
78144,79,215,Forward
78145,74,175,Guard
78146,73,168,Guard
78147,75,190,Guard
78148,85,230,Center
78149,83,230,Center
78150,73,180,Guard
78151,79,220,Forward
202918,77,205,Guard
202081,83,305,Center
78152,78,225,Forward
101134,81,250,Forward
1627732,82,230,Guard-Forward
2250,78,235,Forward
200759,81,235,Forward
78153,80,222,Center
78154,73,184,Guard
203613,78,195,Forward
1489,79,210,Forward
1750,75,202,Guard
1629014,76,185,Guard
202067,79,230,Forward
78157,77,200,Guard
78160,77,220,Forward
78159,79,195,Forward
203156,82,248,Center-Forward
78161,73,170,Guard
202713,80,228,Forward
201606,72,185,Guard
202698,81,228,Forward
101189,80,230,Forward
78162,77,175,Forward
78163,70,165,Guard
78164,80,210,Forward
203491,72,185,Guard
101,73,180,Guard
78167,75,190,Guard
78168,77,195,Forward
78169,71,180,Guard
78170,78,220,Forward
1073,79,255,Forward
78171,83,210,Center
78172,77,205,Guard
202388,75,205,Guard
78173,77,195,Guard
101166,82,238,Forward
78174,76,200,Guard
78175,73,175,Guard
203935,76,220,Guard
78176,73,195,Guard
78177,75,190,Guard
78178,73,180,Guard
78207,84,220,Center
78209,77,190,Forward
78202,77,195,Forward
78203,76,190,Guard
293,82,244,Forward
78179,73,160,Forward
1814,75,190,Guard
78181,78,210,Forward
200783,79,265,Forward
78182,75,180,Forward
78183,78,205,Guard
78184,72,160,Guard
78185,74,190,Forward
2764,79,215,Guard
475,82,220,Forward
78187,78,180,Forward
78188,85,250,Center
78189,81,235,Center
78190,77,195,Forward
202962,82,250,Center
202397,72,175,Guard
2747,78,225,Guard-Forward
2074,83,250,Center
78191,81,225,Forward
693,82,225,Forward-Center
78192,75,180,Guard
181,75,170,Guard
78194,75,200,Forward
78195,80,215,Forward
1910,82,235,Forward
63,80,240,Forward
78197,82,225,Guard
2065,80,195,Forward
202701,74,185,Guard
78198,77,210,Forward
78199,76,185,Guard
78200,75,180,Guard
78201,82,240,Forward
78204,71,165,Guard
78205,76,200,Forward
120,80,221,Guard-Forward
1478,74,208,Guard
78208,74,170,Guard
1629015,76,199,Guard
1628372,75,195,Guard
22,88,265,Center
1091,84,250,Center
78212,75,215,Forward
203503,79,213,Guard
727,75,205,Guard
78213,77,207,Guard
2745,78,225,Forward-Guard
78214,72,180,Guard
78215,75,198,Guard
78216,75,185,Guard
78217,81,225,Center
78219,68,170,Guard
2443,81,248,Forward
78220,80,225,Forward
203480,80,215,Forward
78221,74,175,Forward
2776,82,250,Forward
1629034,82,215,Forward
78222,77,190,Guard
2779,76,195,Guard
78223,78,218,Forward
600009,74,175,Guard
78225,77,205,Forward
78226,76,200,Forward
201578,82,255,Forward-Center
1629016,81,245,Forward
78227,78,210,Forward
280,84,290,Center
78230,74,195,Forward
78231,84,225,Center
201168,83,245,Center-Forward
78232,81,220,Center
84,77,195,Guard
78233,79,230,Forward
78234,81,235,Center
78235,74,225,Forward
711,78,218,Forward
78237,75,185,Guard
78238,79,200,Forward
78239,77,190,Forward
78240,73,185,Forward
78241,77,170,Guard
317,77,190,Guard
78243,78,190,Guard
203917,78,205,Guard
78244,79,205,Forward
78245,77,180,Guard
1735,85,255,Center
78247,74,175,Guard
78249,75,185,Guard
202362,78,230,Guard
78250,77,195,Guard
78251,77,195,Guard
78252,75,185,Forward
2052,77,218,Forward-Guard
78253,78,220,Forward
1529,80,239,Forward
1125,80,230,Forward
1565,82,230,Center
78256,77,205,Forward
201880,83,260,Center
78257,83,245,Center
179,77,210,Guard
78259,74,185,Guard
78260,77,210,Forward
78261,80,220,Forward
204065,71,165,Guard
304,73,175,Guard
978,82,229,Forward
78264,82,220,Forward
600016,79,232,Forward
78266,73,180,Guard
1627754,83,255,Center
202933,78,200,Guard
2852,78,225,Forward-Guard
757,70,171,Guard
101136,73,175,Guard
2405,82,245,Forward-Center
78267,76,215,Forward
201199,77,201,Guard
78268,82,235,Center
78269,80,210,Forward
1065,75,218,Guard
78270,77,200,Forward
78271,82,260,Forward
400,81,240,Forward
78273,76,190,Guard
78274,79,215,Forward
78275,74,185,Forward
78276,70,170,Guard
78277,81,225,Center
201969,80,240,Forward
1628410,78,176,Guard
78654,83,215,Forward
201180,81,205,Guard
78278,73,180,Guard
1743,86,260,Center
78279,74,170,Guard
682,77,200,Guard
78280,76,210,Forward
78281,75,190,Guard
357,74,185,Guard
78283,80,220,Forward
1628403,81,250,Forward
78284,78,210,Forward
78285,76,215,Forward
2552,80,270,Forward
2741,85,270,Center
2031,82,220,Forward-Center
78286,77,230,Forward
202377,79,225,Forward-Guard
78287,70,175,Guard
1132,81,255,Forward
1136,83,230,Center
1887,79,240,Guard-Forward
440,84,257,Center
101147,82,261,Forward
78291,72,160,Guard
1434,83,270,Center-Forward
78293,84,230,Forward
78294,76,185,Guard
1628369,80,208,Forward
204002,87,265,Center
78295,76,175,Guard
78296,74,185,Guard
101182,77,193,Guard
78298,77,180,Guard
1627819,75,170,Guard
78297,75,190,Forward
78299,76,175,Guard
1511,81,220,Forward
78301,80,220,Forward
201446,74,165,Guard
78302,72,175,Guard
78303,77,180,Guard
78304,77,195,Guard
201952,74,195,Guard
203104,74,189,Guard
202066,78,195,Guard-Forward
78305,80,200,Forward
1629123,75,227,Guard
